run,block,tier,said_inside,truth_inside,block_time,slowest_visible,confidence
L1_run_047,S17,B,0,0,164.0,182.0,0.234
L1_run_048,S07;S08,C,0,0,184.0,265.0,0.749
L1_run_048,S16,B,0,0,130.3,265.0,1.0
L1_run_049,S04,B,0,0,98.0,182.4,1.0
L1_run_049,S07,B,0,0,100.4,182.4,1.0
L1_run_049,S14,B,1,0,215.7,182.4,0.481
L1_run_050,S02;S03,C,0,0,160.7,236.5,0.906
L1_run_050,S07,B,0,0,142.8,236.5,1.0
L1_run_051,S04,B,1,0,344.4,237.4,1.0
L1_run_051,S09,B,1,0,327.9,237.4,0.882
L1_run_051,S17,B,0,0,157.2,237.4,0.782
L1_run_052,S05;S06,C,0,0,257.4,266.2,0.086
L1_run_052,S10,B,0,0,147.0,266.2,1.0
L1_run_053,S06,B,0,0,245.7,246.4,0.007
L1_run_053,S12,B,0,0,229.0,246.4,0.161
L1_run_053,S17,B,0,0,217.7,246.4,0.264
L1_run_054,S10;S11,C,0,0,93.2,181.0,1.0
L1_run_054,S18,B,0,0,87.3,181.0,1.0
L1_run_055,S05,B,0,0,111.0,131.4,0.419
L1_run_055,S13,B,0,0,80.3,131.4,1.0
L1_run_055,S16,B,0,0,117.8,131.4,0.28
L1_run_056,S10,B,0,0,79.3,193.1,1.0
L1_run_056,S15;S16,C,0,1,143.3,193.1,0.653
L1_run_057,S11,B,0,0,74.1,272.1,1.0
L1_run_057,S16,B,0,0,85.2,272.1,1.0
L1_run_057,S19,B,0,1,127.0,272.1,1.0
L1_run_058,S10,B,0,0,81.4,249.9,1.0
L1_run_058,S14;S15,C,0,0,133.8,249.9,1.0
L1_run_059,S05,B,1,0,249.9,148.3,1.0
L1_run_059,S07,B,1,0,173.3,148.3,0.477
L1_run_059,S19,B,0,1,133.6,148.3,0.281
L1_run_060,S09,B,0,0,91.0,256.1,1.0
L1_run_060,S13;S14,C,0,0,143.8,256.1,0.885
